pco_id;sro;localisation;lat;lon;geom;address
RESIDENTIEL2_PCO17;RESIDENTIEL 2;RESIDENTIEL 2;5.308576;-3.99278;5.308675,-3.991608;Rue de la Paix, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO18;RESIDENTIEL 2;RESIDENTIEL 2;5.309239;-3.99301;5.308576,-3.992784;Rue D11, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO19;RESIDENTIEL 2;RESIDENTIEL 2;5.309446;-3.99368;5.309239,-3.993006;Rue D11, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO20;RESIDENTIEL 2;RESIDENTIEL 2;5.303838;-3.98226;5.309446,-3.993677;Rue des Cérés, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO25;RESIDENTIEL 2;RESIDENTIEL 2;5.302135;-3.98319;5.303838,-3.982259;Avenue de la Côte d’Ivoire, Massarana, Zone 4, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO26;RESIDENTIEL 2;RESIDENTIEL 2;5.300316;-3.98427;5.302135,-3.983194;Avenue de la Côte d’Ivoire, Massarana, Zone 4, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO27;RESIDENTIEL 2;RESIDENTIEL 2;5.308983;-3.9894;5.300316,-3.984268;Rue de Bingerville, Massarana, Zone 4, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO29;RESIDENTIEL 2;RESIDENTIEL 2;5.307937;-3.98901;5.308983,-3.989399;Rue F19, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO30;RESIDENTIEL 2;RESIDENTIEL 2;5.307408;-3.98806;5.307937,-3.989006;Boulevard du Cameroun, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO31;RESIDENTIEL 2;RESIDENTIEL 2;5.307028;-3.98744;5.307408,-3.98806;Boulevard du Cameroun, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO32;RESIDENTIEL 2;RESIDENTIEL 2;5.304371;-3.98848;5.307028,-3.987435;Boulevard du Cameroun, Marcory Résidentiel, Marcory, Abidjan, Côte d’Ivoire
RESIDENTIEL2_PCO33;RESIDENTIEL 2;RESIDENTIEL 2;5.301675;-3.98823;5.304371,-3.988482;Boulevard de Lorraine, Massarana, Zone 4, Marcory, Abidjan, Côte d’Ivoire
